district_id,district,school_id,school,grade,scheduled_start,actual_start,mode_1,mode_2,mode_3,mode_4,mode_5,mode_6,mode_7,mode_8,mode_9,mode_10,days_1,days_2,days_3,days_4,days_5,days_6,days_7,days_8,days_9,days_10,survey_date
601,Appling County,103,Appling County High School,09-12 ,8/3/2020,8/17/2020,In-person,In-person,In-person,In-person,In-person,In-person,In-person,In-person,In-person,In-person,,,,,,,,,,,8/30/2021 7:38
601,Appling County,177,Appling County Elementary School,03-05 ,8/3/2020,8/17/2020,In-person,In-person,In-person,In-person,In-person,In-person,In-person,In-person,In-person,In-person,,,,,,,,,,,8/30/2021 7:38
601,Appling County,195,Appling County Middle School,06-08 ,8/3/2020,8/17/2020,In-person,In-person,In-person,In-person,In-person,In-person,In-person,In-person,In-person,In-person,,,,,,,,,,,8/30/2021 7:38
601,Appling County,277,Appling County Primary School,PK-02 ,8/3/2020,8/17/2020,In-person,In-person,In-person,In-person,In-person,In-person,In-person,In-person,In-person,In-person,,,,,,,,,,,8/30/2021 7:38
601,Appling County,1050,Altamaha Elementary School,PK-05 ,8/3/2020,8/17/2020,In-person,In-person,In-person,In-person,In-person,In-person,In-person,In-person,In-person,In-person,,,,,,,,,,,8/30/2021 7:38
601,Appling County,5050,Fourth District Elementary School,PK-05 ,8/3/2020,8/17/2020,In-person,In-person,In-person,In-person,In-person,In-person,In-person,In-person,In-person,In-person,,,,,,,,,,,8/30/2021 7:38
602,Atkinson County,103,Atkinson County High School,09-12 ,8/3/2020,8/17/2020,In-person,In-person,In-person,In-person,Hybrid,Virtual,In-person,In-person,In-person,In-person,,,,,4,,,,,,6/28/2021 11:00
602,Atkinson County,111,Atkinson County Middle School,06-08 ,8/3/2020,8/17/2020,In-person,In-person,In-person,In-person,Hybrid,Virtual,In-person,In-person,In-person,In-person,,,,,4,,,,,,6/28/2021 11:00
602,Atkinson County,187,Willacoochee Elementary School,PK-05 ,8/3/2020,8/17/2020,In-person,In-person,In-person,In-person,Hybrid,Virtual,In-person,In-person,In-person,In-person,,,,,4,,,,,,6/28/2021 11:00
602,Atkinson County,190,Pearson Elementary School,PK-05 ,8/3/2020,8/17/2020,In-person,In-person,In-person,In-person,Hybrid,Virtual,In-person,In-person,In-person,In-person,,,,,4,,,,,,6/28/2021 11:00
603,Bacon County,102,Bacon County Primary School,PK-02 ,8/10/2020,8/10/2020,In-person,In-person,In-person,In-person,In-person,Hybrid,In-person,In-person,In-person,In-person,,,,,,9,,,,,6/29/2021 10:29
603,Bacon County,202,Bacon County Middle School,06-08 ,8/10/2020,8/10/2020,In-person,In-person,In-person,In-person,In-person,Hybrid,In-person,In-person,In-person,In-person,,,,,,9,,,,,6/29/2021 10:29
603,Bacon County,302,Bacon County High School,09-12 ,8/10/2020,8/10/2020,In-person,In-person,In-person,In-person,In-person,Hybrid,In-person,In-person,In-person,In-person,,,,,,9,,,,,6/29/2021 10:29
603,Bacon County,3050,Bacon County Elementary School,03-05 ,8/10/2020,8/10/2020,In-person,In-person,In-person,In-person,In-person,Hybrid,In-person,In-person,In-person,In-person,,,,,,9,,,,,6/29/2021 10:29
604,Baker County,105,Baker County K12 School,PK-12 ,8/3/2020,8/3/2020,In-person,In-person,In-person,In-person,In-person,In-person,In-person,In-person,In-person,In-person,,,,,,,,,,,11/16/2021 12:00
605,Baldwin County,100,Oak Hill MS,06-08 ,8/3/2020,8/19/2020,Virtual,Virtual,Virtual,In-person,In-person,In-person,In-person,In-person,In-person,In-person,,,,,,,,,,,6/28/2021 7:58
605,Baldwin County,189,Baldwin High School,09-12 ,8/3/2020,8/19/2020,Virtual,Virtual,Virtual,Virtual,Virtual,In-person,In-person,In-person,In-person,In-person,,,,,,,,,,,6/28/2021 7:58
605,Baldwin County,300,Lakeview Academy,03-05 ,8/3/2020,8/19/2020,Virtual,Virtual,Virtual,In-person,In-person,In-person,In-person,In-person,In-person,In-person,,,,,,,,,,,6/28/2021 7:58
605,Baldwin County,301,Midway Hills Primary,PK-02 ,8/3/2020,8/19/2020,Virtual,Virtual,Virtual,In-person,In-person,In-person,In-person,In-person,In-person,In-person,,,,,,,,,,,6/28/2021 7:58
605,Baldwin County,302,Lakeview Primary,PK-02 ,8/3/2020,8/19/2020,Virtual,Virtual,Virtual,In-person,In-person,In-person,In-person,In-person,In-person,In-person,,,,,,,,,,,6/28/2021 7:58
605,Baldwin County,303,Midway Hills Academy,03-05 ,8/3/2020,8/19/2020,Virtual,Virtual,Virtual,In-person,In-person,In-person,In-person,In-person,In-person,In-person,,,,,,,,,,,6/28/2021 7:58
606,Banks County,105,Banks County Middle School,06-08 ,8/7/2020,8/19/2020,In-person,In-person,In-person,In-person,In-person,Hybrid,In-person,In-person,In-person,In-person,,,,,,10,,,,,7/6/2021 10:06
606,Banks County,107,Banks County Elementary School,03-05 ,8/7/2020,8/19/2020,In-person,In-person,In-person,In-person,In-person,Hybrid,In-person,In-person,In-person,In-person,,,,,,10,,,,,7/6/2021 10:06
606,Banks County,199,Banks County High School,09-12 ,8/7/2020,8/19/2020,In-person,In-person,In-person,In-person,In-person,Hybrid,In-person,In-person,In-person,In-person,,,,,,10,,,,,7/6/2021 10:06
606,Banks County,205,Banks County Primary School,PK-02 ,8/7/2020,8/19/2020,In-person,In-person,In-person,In-person,In-person,Hybrid,In-person,In-person,In-person,In-person,,,,,,10,,,,,7/6/2021 10:06
607,Barrow County,101,Apalachee High School,09-12 ,,,Virtual,Hybrid,In-person,In-person,Hybrid,In-person,In-person,Hybrid,Hybrid,Hybrid,,6,,,3,,,2,2,2,
607,Barrow County,105,County Line Elementary School,PK-05 ,,,Virtual,Hybrid,In-person,In-person,In-person,In-person,In-person,Hybrid,Hybrid,In-person,,6,,,,,,2,2,,
607,Barrow County,106,Haymon-Morris Middle School,06-08 ,,,Virtual,Hybrid,In-person,In-person,In-person,In-person,In-person,Hybrid,Hybrid,In-person,,6,,,,,,2,2,,
607,Barrow County,114,Bear Creek Middle School,06-08 ,,,Virtual,Hybrid,In-person,In-person,In-person,In-person,In-person,Hybrid,Hybrid,In-person,,6,,,,,,2,2,,
